release_date,domestic_total_gross
16-Jun-1960,354.1334
08-May-1963,156.8899
08-Apr-1964,221.3045
11-Apr-1964,97.0842
23-Jun-1964,110.3832
22-Dec-1964,550.29
21-Dec-1965,620.84
13-Jun-1967,298.0031
08-Feb-1968,206.4839
13-Mar-1969,299.6417
18-Dec-1969,133.1185
27-May-1970,101.7404
21-May-1971,62.1187
17-Dec-1971,220.4256
22-Dec-1971,180.9702
15-Mar-1972,652.7653
14-Jun-1972,44.1534
23-May-1973,41.4747
27-Jun-1973,165.8961
25-Dec-1973,186.4827
26-Dec-1973,856.631
06-Jun-1974,169.6795
01-Oct-1974,136.9678
25-Oct-1974,175.5517
12-Dec-1974,211.019
18-Dec-1974,93.0843
21-Mar-1975,80.9756
21-May-1975,169.374
20-Jun-1975,1063.0542
07-Apr-1976,125.5183
25-Jun-1976,237.3994
21-Nov-1976,456.8318
15-Dec-1976,131.8383
22-Dec-1976,180.1684
01-Jan-1977,65.998
25-May-1977,1184.6923
27-May-1977,471.7133
17-Jun-1977,114.4475
24-Jun-1977,104.2152
13-Jul-1977,174.3323
29-Jul-1977,71.1059
07-Oct-1977,155.1588
10-Mar-1978,58.1461
02-Jun-1978,25.1571
09-Jun-1978,94.0608
16-Jun-1978,275.7348
19-Jul-1978,175.8581
25-Oct-1978,166.7094
15-Nov-1978,108.0824
15-Dec-1978,476.0725
25-May-1979,261.0528
15-Jun-1979,281.6781
22-Jun-1979,215.6016
29-Jun-1979,142.3434
29-Jun-1979,232.4929
27-Jul-1979,285.811
07-Dec-1979,272.01
15-Feb-1980,12.4307
21-Mar-1980,26.9981
09-May-1980,122.6629
21-May-1980,654.5566
25-Jun-1980,52.4535
11-Jul-1980,19.1797
15-Aug-1980,204.0523
03-Oct-1980,44.753
20-Mar-1981,61.1196
30-Apr-1981,64.8558
12-Jun-1981,641.0847
12-Jun-1981,2.9856
12-Jun-1981,2.9856
19-Jun-1981,323.0005
19-Jun-1981,0.0
26-Jun-1981,163.6497
26-Jun-1981,93.1697
17-Jul-1981,270.0898
30-Oct-1981,76.2341
19-Mar-1982,297.8189
14-May-1982,111.6985
21-May-1982,66.8176
28-May-1982,350.4827
04-Jun-1982,216.2694
04-Jun-1982,222.7815
16-Jul-1982,60.5219
13-Aug-1982,43.6915
13-Aug-1982,97.6281
24-Sep-1982,35.3874
22-Oct-1982,40.6531
22-Oct-1982,133.2881
19-Nov-1982,37.4805
17-Dec-1982,24.7561
01-Jan-1983,6.3238
25-Mar-1983,29.9708
06-May-1983,2.3773
06-May-1983,15.2751
20-May-1983,1.4126
25-May-1983,672.1621
03-Jun-1983,91.4976
10-Jun-1983,178.8943
17-Jun-1983,157.9651
24-Jun-1983,88.953
22-Jul-1983,119.9338
29-Jul-1983,161.7829
12-Aug-1983,14.9636
12-Aug-1983,11.836
07-Oct-1983,146.0611
07-Oct-1983,28.3713
18-Nov-1983,16.6873
09-Dec-1983,172.7102
23-Mar-1984,200.5806
13-Apr-1984,81.4706
23-May-1984,444.3224
01-Jun-1984,188.9017
22-Jun-1984,224.336
29-Jun-1984,76.6812
13-Jul-1984,63.0768
20-Jul-1984,49.7971
27-Jul-1984,13.3664
26-Oct-1984,94.2087
09-Nov-1984,52.9923
09-Nov-1984,60.5849
16-Nov-1984,56.1958
05-Dec-1984,557.3451
01-Mar-1985,25.1465
22-Mar-1985,47.9738
22-Mar-1985,51.2739
29-Mar-1985,129.9944
29-Mar-1985,26.3078
29-Mar-1985,53.6218
22-May-1985,351.6755
24-May-1985,117.6682
03-Jul-1985,490.1204
12-Jul-1985,84.7073
26-Jul-1985,115.4159
02-Aug-1985,58.2689
16-Aug-1985,33.2886
23-Aug-1985,9.6242
30-Aug-1985,24.5486
01-Nov-1985,67.7366
27-Nov-1985,293.7146
17-Jan-1986,54.0504
07-Mar-1986,13.1995
07-Mar-1986,19.1064
21-Mar-1986,97.4952
23-May-1986,91.7176
20-Jun-1986,257.5102
04-Jul-1986,32.3982
18-Jul-1986,190.5202
01-Aug-1986,43.5628
08-Aug-1986,13.0868
15-Aug-1986,19.2867
22-Aug-1986,17.9555
26-Sep-1986,383.4804
26-Nov-1986,239.6207
09-Jan-1987,4.5581
27-Feb-1987,95.0853
06-Mar-1987,138.4192
13-Mar-1987,12.5732
03-Apr-1987,59.5676
01-May-1987,8.491
20-May-1987,326.1943
22-May-1987,14.4439
22-May-1987,49.9048
05-Jun-1987,47.2476
12-Jun-1987,126.8044
17-Jul-1987,113.4079
17-Jul-1987,44.0749
24-Jul-1987,33.2871
31-Jul-1987,108.6555
07-Aug-1987,5.5362
18-Sep-1987,30.916
15-Jan-1988,18.591
22-Jan-1988,12.5084
18-Mar-1988,39.4005
13-May-1988,38.7131
25-May-1988,108.4768
25-May-1988,220.74
10-Jun-1988,28.5037
08-Jul-1988,29.6481
15-Jul-1988,167.6334
15-Jul-1988,76.5444
19-Aug-1988,99.7008
21-Oct-1988,35.8834
11-Nov-1988,21.199
11-Nov-1988,57.0332
11-Nov-1988,67.1365
02-Dec-1988,161.8082
23-Dec-1988,24.9331
24-Feb-1989,1.8861
10-Mar-1989,24.1834
07-Apr-1989,104.1099
19-May-1989,6.2381
24-May-1989,410.1569
09-Jun-1989,109.1545
23-Jun-1989,522.5233
30-Jun-1989,81.4451
07-Jul-1989,307.861
14-Jul-1989,72.4776
28-Jul-1989,29.9887
11-Aug-1989,46.3469
13-Oct-1989,289.1931
13-Oct-1989,24.3402
22-Nov-1989,243.6114
01-Dec-1989,146.328
12-Jan-1990,11.313
02-Mar-1990,239.4102
09-Mar-1990,51.7732
30-Mar-1990,265.4154
06-Apr-1990,49.1124
25-May-1990,172.1368
22-Jun-1990,89.6344
06-Jul-1990,230.6359
17-Aug-1990,51.2105
09-Nov-1990,55.9251
16-Nov-1990,562.1938
16-Nov-1990,80.3439
21-Nov-1990,60.1788
14-Dec-1990,94.0359
25-Dec-1990,131.3012
08-Feb-1991,34.2519
14-Feb-1991,257.7592
08-Mar-1991,0.7059
22-Mar-1991,155.0716
28-Jun-1991,171.383
03-Jul-1991,403.8479
30-Aug-1991,29.4941
13-Sep-1991,68.7501
11-Oct-1991,27.8834
25-Oct-1991,38.3232
01-Nov-1991,30.6693
06-Dec-1991,148.5346
15-May-1992,289.4631
22-May-1992,110.9471
05-Jun-1992,166.7032
12-Jun-1992,5.0352
19-Jun-1992,325.6634
10-Jul-1992,72.5998
07-Aug-1992,58.0006
11-Sep-1992,25.0699
02-Oct-1992,101.5047
20-Nov-1992,347.3516
11-Dec-1992,54.5904
19-Feb-1993,23.0615
26-Feb-1993,4.0917
19-Mar-1993,84.7514
11-Jun-1993,715.5085
16-Jul-1993,155.7726
13-Aug-1993,31.9471
27-Aug-1993,4.8878
29-Oct-1993,0.1087
05-Nov-1993,20.7305
05-Nov-1993,21.4441
12-Nov-1993,2.9071
25-Dec-1993,11.2114
14-Jan-1994,38.2857
18-Mar-1994,101.5312
25-Mar-1994,90.5661
01-Apr-1994,60.8128
06-May-1994,23.4283
25-May-1994,84.6181
05-Aug-1994,242.6216
12-Aug-1994,17.7016
26-Aug-1994,0.2507
14-Oct-1994,35.9207
11-Nov-1994,286.4101
18-Nov-1994,149.7764
16-Dec-1994,246.656
27-Jan-1995,23.4748
27-Jan-1995,10.5618
10-Mar-1995,0.7889
28-Apr-1995,52.4094
19-May-1995,190.8284
16-Jun-1995,351.1398
